Vds1 (V) =	1.412507E-4		Vds2 (V) =	4.924248E-1		Vds3 (V) =	2.000190E+1		Vds4 (V) =	3.002063E+1		Vds5 (V) =	4.002377E+1		Vds6 (V) =	5.002155E+1		Vds7 (V) =	6.002262E+1		Vds8 (V) =	7.002373E+1		
Vgs1 (V)	Ids1 (A)	Igs1 (A)	Vgs2 (V)	Ids2 (A)	Igs2 (A)	Vgs3 (V)	Ids3 (A)	Igs3 (A)	Vgs4 (V)	Ids4 (A)	Igs4 (A)	Vgs5 (V)	Ids5 (A)	Igs5 (A)	Vgs6 (V)	Ids6 (A)	Igs6 (A)	Vgs7 (V)	Ids7 (A)	Igs7 (A)	Vgs8 (V)	Ids8 (A)	Igs8 (A)	
6.00007900E+0	-4.29115100E-10	5.99247700E-10	6.00006900E+0	3.54101100E-7	2.55363500E-11	6.00008400E+0	3.49918300E-7	-1.50982900E-11	6.00007200E+0	3.48589700E-7	1.16380400E-11	6.00008200E+0	3.51547700E-7	5.05306600E-11	6.00007600E+0	3.68410800E-7	-1.41698100E-10	6.00007400E+0	6.33735200E-7	-5.87846500E-10	6.00006400E+0	1.24695000E-6	-9.95055000E-9
6.50063700E+0	1.24607300E-11	7.11292700E-10	6.50062400E+0	4.00402500E-7	1.33535300E-10	6.50064500E+0	3.97182200E-7	8.12803900E-11	6.50066800E+0	3.97552500E-7	8.02958700E-11	6.50063000E+0	3.99906100E-7	5.42040500E-11	6.50064800E+0	4.15354900E-7	2.78464500E-11	6.50063200E+0	7.19565600E-7	-5.84967700E-10	6.50063200E+0	1.38139400E-6	-1.31777000E-8
7.00065100E+0	-6.55408400E-10	9.29248300E-10	7.00067900E+0	4.54593600E-7	1.60798700E-10	7.00068500E+0	4.52419400E-7	2.45138600E-11	7.00068000E+0	4.54306900E-7	1.81738600E-10	7.00068100E+0	4.56713600E-7	1.10740000E-10	7.00068400E+0	4.70318300E-7	-2.49444800E-11	7.00065700E+0	8.13075600E-7	-4.13984200E-10	7.00068100E+0	1.58527500E-6	-1.42562700E-8
7.50015700E+0	-3.69924100E-10	5.93871000E-10	7.50019500E+0	5.15325300E-7	2.54781800E-10	7.50021000E+0	5.18006300E-7	2.64021100E-10	7.50019800E+0	5.21023700E-7	1.36602400E-10	7.50017600E+0	5.23367200E-7	2.22065700E-10	7.50019200E+0	5.34704600E-7	1.56822800E-10	7.50018600E+0	9.16516000E-7	-5.42780200E-10	7.50017600E+0	1.76217600E-6	-1.41035100E-8
7.99973400E+0	-4.29748400E-10	7.12959000E-10	7.99973800E+0	5.84593600E-7	3.24341500E-10	7.99972500E+0	5.95200200E-7	3.08096900E-10	7.99974800E+0	5.97388900E-7	2.62885000E-10	7.99973500E+0	6.01147700E-7	4.01739300E-10	7.99974600E+0	6.10109600E-7	1.62919300E-10	7.99972900E+0	1.04364600E-6	-3.07834300E-10	7.99972300E+0	1.97557000E-6	-1.40088200E-8
8.50011300E+0	-2.88954200E-10	6.44156800E-10	8.50012700E+0	6.61702400E-7	3.19570300E-10	8.50013400E+0	6.81215400E-7	2.88558200E-10	8.50013700E+0	6.84153700E-7	2.24451300E-10	8.50013400E+0	6.89091400E-7	3.15973000E-10	8.50013100E+0	6.92924200E-7	1.88705800E-10	8.50013400E+0	1.14442400E-6	-1.86309100E-10	8.50011300E+0	2.12082600E-6	-1.47335800E-8
9.00028700E+0	-4.99958500E-10	6.89520000E-10	9.00030700E+0	7.46792900E-7	4.43884200E-10	9.00031600E+0	7.75965400E-7	3.71030100E-10	9.00032100E+0	7.80575000E-7	3.34754500E-10	9.00033000E+0	7.87089600E-7	3.21426000E-10	9.00030800E+0	7.87910500E-7	3.23584000E-10	9.00032100E+0	1.24921600E-6	-2.78333300E-10	9.00031000E+0	2.28319000E-6	-1.25000400E-8
9.50083500E+0	-3.67982000E-10	5.71340800E-10	9.50083900E+0	8.40644500E-7	4.18665400E-10	9.50084400E+0	8.78703000E-7	3.81821900E-10	9.50084800E+0	8.86384000E-7	3.79549900E-10	9.50084700E+0	9.20294000E-7	3.66675300E-10	9.50084800E+0	8.95894000E-7	2.84923000E-10	9.50084200E+0	1.37244000E-6	-3.41538900E-10	9.50084100E+0	2.33431400E-6	-1.01153300E-8
1.00004200E+1	-2.88067800E-10	6.33440700E-10	1.00004200E+1	9.37914200E-7	4.26352200E-10	1.00004100E+1	1.01994300E-6	3.74097400E-10	1.00004200E+1	1.03161600E-6	3.70916400E-10	1.00004200E+1	1.03234900E-6	2.87043500E-10	1.00004300E+1	1.00266800E-6	3.76028300E-10	1.00004400E+1	1.50617900E-6	-3.27185800E-10	1.00004100E+1	2.52857500E-6	-8.41491400E-9
1.04999400E+1	-3.99097400E-10	7.33633800E-10	1.04999500E+1	1.02780500E-6	6.46239100E-10	1.04999500E+1	1.13588100E-6	4.00300400E-10	1.04999700E+1	1.15013700E-6	3.06317300E-10	1.04999700E+1	1.15708300E-6	3.08854200E-10	1.04999600E+1	1.19517900E-6	1.02440700E-9	1.04999600E+1	1.65254000E-6	-4.10121900E-10	1.04999600E+1	2.81349800E-6	-9.70163000E-9
