Vds1 (V) =	1.463183E-4		Vds2 (V) =	2.155597E-1		Vds3 (V) =	2.000196E+1		Vds4 (V) =	3.002171E+1		Vds5 (V) =	4.002334E+1		Vds6 (V) =	5.002138E+1		Vds7 (V) =	6.002221E+1		Vds8 (V) =	7.002332E+1		
Vgs1 (V)	Ids1 (A)	Igs1 (A)	Vgs2 (V)	Ids2 (A)	Igs2 (A)	Vgs3 (V)	Ids3 (A)	Igs3 (A)	Vgs4 (V)	Ids4 (A)	Igs4 (A)	Vgs5 (V)	Ids5 (A)	Igs5 (A)	Vgs6 (V)	Ids6 (A)	Igs6 (A)	Vgs7 (V)	Ids7 (A)	Igs7 (A)	Vgs8 (V)	Ids8 (A)	Igs8 (A)	
5.99993800E+0	-3.46239900E-10	5.03900100E-10	5.99995000E+0	1.16487400E-6	-6.29279000E-11	5.99998300E+0	1.30630200E-6	3.83744500E-11	5.99994500E+0	1.45252600E-6	-1.16139700E-11	5.99996000E+0	1.77013000E-6	1.45542600E-11	5.99995900E+0	2.03338300E-6	-6.85326400E-11	5.99995500E+0	2.45864500E-6	5.27650500E-11	5.99996000E+0	5.90400600E-6	-3.07761400E-11
6.50051700E+0	-2.35341800E-10	5.68044600E-10	6.50051300E+0	1.30523800E-6	1.41221900E-10	6.50053400E+0	1.46336100E-6	4.93188800E-11	6.50052500E+0	1.62690200E-6	4.31839400E-11	6.50052500E+0	1.96219100E-6	1.51445500E-10	6.50052000E+0	2.22222900E-6	1.13466200E-10	6.50052000E+0	2.71257800E-6	1.09755400E-10	6.50051700E+0	6.13992200E-6	7.69257900E-11
7.00054400E+0	-2.34497400E-10	5.49338900E-10	7.00054400E+0	1.47001900E-6	1.29180600E-10	7.00057100E+0	1.64419700E-6	4.78798300E-11	7.00055600E+0	1.82183900E-6	1.99572900E-10	7.00055400E+0	2.18397800E-6	2.37060100E-10	7.00055300E+0	2.44458500E-6	1.61404300E-10	7.00054500E+0	2.95506300E-6	4.09117600E-11	7.00055100E+0	6.38352000E-6	5.98846200E-11
7.50006400E+0	-2.85872800E-10	5.14502500E-10	7.50005100E+0	1.65612200E-6	6.47319900E-11	7.50007900E+0	1.84925000E-6	1.76588400E-10	7.50005600E+0	2.04565500E-6	1.81132400E-10	7.50005500E+0	2.42924800E-6	1.36753700E-10	7.50006100E+0	2.69283400E-6	1.52808800E-10	7.50006200E+0	3.21830900E-6	2.26684900E-10	7.50006500E+0	6.66522400E-6	1.31338900E-10
7.99960800E+0	-3.39021200E-10	5.92127100E-10	7.99960600E+0	1.86035800E-6	2.61521400E-10	7.99963000E+0	2.08250500E-6	1.58110000E-10	7.99962300E+0	2.29338500E-6	1.48908600E-10	7.99960900E+0	2.71138600E-6	2.67693300E-10	7.99962000E+0	2.96958000E-6	2.32364700E-10	7.99962000E+0	3.52912000E-6	1.66326800E-10	7.99961400E+0	6.98313500E-6	2.54970500E-10
8.49999600E+0	-1.78225100E-10	5.89249500E-10	8.50002200E+0	2.08661800E-6	2.94464500E-10	8.50003200E+0	2.33932800E-6	2.56750200E-10	8.50001500E+0	2.56911400E-6	2.47662500E-10	8.49998600E+0	3.02931500E-6	4.34492000E-10	8.49999700E+0	3.27622200E-6	2.99538600E-10	8.50000100E+0	3.88593600E-6	1.99686600E-10	8.50000600E+0	7.39158300E-6	2.49252900E-10
9.00019000E+0	-2.17189400E-10	5.91028800E-10	9.00018800E+0	2.33390400E-6	2.68602400E-10	9.00019400E+0	2.62562700E-6	3.46567800E-10	9.00019100E+0	2.87163400E-6	2.79545400E-10	9.00017000E+0	3.39044600E-6	2.53418100E-10	9.00019500E+0	3.61595000E-6	2.55690000E-10	9.00019000E+0	4.28054600E-6	2.81514500E-10	9.00019200E+0	7.84473900E-6	3.03135800E-10
9.50070600E+0	-2.65989600E-10	5.84705700E-10	9.50072300E+0	2.61614700E-6	3.96209700E-10	9.50073100E+0	2.93877400E-6	2.46526600E-10	9.50071200E+0	3.20527100E-6	2.53380300E-10	9.50072100E+0	3.77580200E-6	3.36192700E-10	9.50071100E+0	3.99291200E-6	2.79318200E-10	9.50072500E+0	4.71968400E-6	2.55084200E-10	9.50071300E+0	8.27956400E-6	2.46109900E-10
1.00003000E+1	-2.07986500E-10	6.29916600E-10	1.00003100E+1	2.91233100E-6	3.41986100E-10	1.00003200E+1	3.27177600E-6	2.80151300E-10	1.00003200E+1	3.55901600E-6	2.84203100E-10	1.00003100E+1	4.18587600E-6	4.14574600E-10	1.00002900E+1	4.39270300E-6	2.13999800E-10	1.00003100E+1	5.17661000E-6	3.82388900E-10	1.00003100E+1	8.71524200E-6	1.81548700E-10
1.04998200E+1	-1.81011400E-10	5.37827800E-10	1.04998400E+1	3.21767500E-6	2.98819100E-10	1.04998500E+1	3.63920500E-6	3.42099700E-10	1.04998500E+1	3.94885500E-6	3.79322000E-10	1.04998300E+1	4.61838600E-6	2.29297600E-10	1.04998500E+1	4.83065300E-6	3.61676200E-10	1.04998300E+1	5.70178800E-6	5.23022200E-10	1.04998300E+1	9.17178600E-6	2.66860400E-10
